ID1,ID2,Weight
5,41,1
5,64,1
5,151,1
5,192,1
9,742,2
10,41,2
10,60,2
10,230,1
10,260,3
10,283,1
10,285,1
12,94,1
13,88,3
13,133,1
13,149,1
13,476,2
16,21,2
16,161,1
16,206,2
16,270,2
16,285,2
16,976,2
17,167,2
19,142,1
19,152,1
21,16,1
21,70,1
21,100,1
21,166,3
21,206,1
21,270,2
21,290,1
21,493,2
22,64,1
22,94,1
22,100,1
22,106,1
22,175,1
24,26,1
24,66,1
24,69,1
24,75,2
24,202,1
24,266,1
24,310,1
25,45,1
25,76,1
25,303,1
25,411,2
25,744,1
25,782,1
26,66,1
26,134,1
26,138,3
26,172,1
26,220,1
26,232,1
26,266,2
29,51,1
31,10,1
31,41,1
37,117,2
40,21,1
40,25,1
40,26,1
40,60,1
40,138,1
40,150,3
40,166,1
40,175,1
40,220,1
40,230,2
40,266,1
40,294,1
41,31,3
41,51,3
41,77,2
41,179,3
41,248,1
41,257,3
41,334,3
41,669,3
42,41,1
42,177,4
42,183,1
43,25,1
43,704,2
45,25,3
46,24,1
46,25,1
46,76,1
46,175,1
48,229,2
48,324,2
50,54,2
51,31,1
51,41,2
51,94,1
51,257,1
53,64,2
54,50,1
55,41,2
55,94,2
55,106,1
56,270,1
56,294,1
57,67,1
58,230,1
63,186,3
63,322,1
63,323,1
64,5,1
64,94,2
64,257,1
66,187,1
66,230,3
66,294,2
66,376,3
66,1069,1
69,166,1
69,253,1
70,36,1
70,52,1
71,188,2
72,94,3
73,175,1
73,260,2
74,50,1
74,702,1
75,24,2
76,25,2
77,26,2
77,40,2
77,41,3
77,51,3
77,94,2
77,103,2
77,138,2
77,150,2
77,175,1
77,204,2
77,206,2
77,220,3
77,266,2
79,77,2
81,82,3
82,81,3
84,395,3
85,938,2
86,384,1
86,1170,1
87,84,2
88,13,4
88,133,2
88,913,3
94,3,2
94,12,1
94,64,2
94,134,1
94,257,1
94,310,1
95,461,2
100,102,2
100,220,1
102,100,1
102,294,1
103,6,1
105,85,2
105,598,3
106,12,2
106,45,2
106,204,3
108,70,1
108,127,2
108,270,1
108,283,1
108,285,1
109,222,4
109,936,2
109,1172,2
113,1,3
113,17,1
113,48,1
113,94,1
113,106,2
115,31,1
115,334,4
120,147,2
120,375,1
120,776,2
121,8,2
121,48,3
121,664,2
122,453,2
123,53,1
124,53,1
124,56,1
124,147,1
124,388,1
126,225,2
127,144,2
129,30,4
129,366,4
129,367,1
131,115,1
133,13,2
133,88,1
133,476,3
134,24,1
134,26,1
134,94,1
134,151,1
134,266,1
137,26,3
137,138,1
137,220,3
137,266,3
138,389,2
139,500,2
139,722,3
143,69,3
144,45,1
145,24,3
145,329,2
147,16,2
147,40,3
147,77,3
147,120,3
147,202,2
147,236,2
147,283,3
147,618,3
147,776,1
147,876,1
148,408,4
149,101,1
150,40,3
150,56,3
150,236,2
151,5,2
151,31,1
151,41,6
151,51,2
152,225,2
152,966,3
154,257,1
155,77,1
155,193,2
155,202,1
155,236,2
155,237,1
155,690,3
156,199,1
156,305,1
156,307,1
157,325,3
161,16,1
161,84,1
161,976,2
162,48,1
162,324,1
166,147,1
166,270,1
169,60,2
169,230,3
171,305,2
173,13,1
175,26,2
175,40,2
175,64,2
175,73,2
175,150,1
175,206,2
175,266,2
175,283,2
175,329,1
177,31,2
179,10,1
179,31,1
179,41,2
179,42,1
179,51,1
179,64,1
179,77,2
179,94,1
179,115,1
179,185,1
179,187,2
179,234,1
179,241,1
179,248,3
179,257,1
179,266,2
179,334,1
179,343,1
179,347,1
179,390,1
179,498,1
179,669,1
179,778,1
179,796,2
179,982,1
179,1020,1
179,1085,2
182,309,1
182,949,2
183,42,2
183,177,3
184,920,2
185,234,3
185,248,2
186,63,3
186,182,2
186,309,3
186,322,3
186,323,3
186,620,3
186,694,2
187,94,1
187,376,1
187,2200,1
188,71,1
190,16,1
190,48,1
190,53,1
190,64,1
190,66,1
190,77,1
190,236,1
190,283,1
190,388,1
195,1142,1
199,156,1
199,305,2
199,307,1
199,791,2
201,94,2
201,237,1
201,548,3
201,886,2
202,236,2
204,25,1
204,77,1
205,195,1
206,16,2
206,138,1
206,306,2
206,329,2
206,876,1
216,26,2
216,64,3
216,139,1
216,161,2
216,266,3
216,294,3
216,327,2
216,389,2
220,1,2
220,26,1
220,66,3
220,77,3
220,127,4
220,266,1
222,109,4
222,241,2
222,375,2
222,669,2
225,325,3
225,615,2
227,245,1
228,51,2
229,48,3
230,1,2
230,5,1
230,10,2
230,66,3
230,77,2
230,151,1
230,260,2
230,266,2
230,283,2
234,347,3
234,636,2
236,202,2
236,294,3
237,155,1
237,170,1
237,236,1
237,595,1
243,147,2
243,895,4
247,390,1
248,41,2
248,51,1
248,77,1
248,167,1
248,179,4
248,246,1
248,303,1
250,69,3
250,637,3
251,436,2
253,69,1
257,531,3
260,10,3
266,16,1
266,73,2
266,283,1
266,388,1
266,389,2
266,493,1
266,618,2
270,290,1
283,618,2
285,10,3
285,16,3
285,26,2
285,40,1
285,50,1
285,60,2
285,66,2
285,127,3
285,150,2
285,166,2
285,169,2
285,206,3
285,230,1
285,266,2
285,283,3
285,618,2
290,294,2
290,513,3
290,743,1
290,871,1
294,56,1
294,157,1
294,236,3
294,283,3
294,290,2
294,513,2
294,618,1
294,743,1
294,871,2
294,976,1
303,1,2
303,10,2
303,25,1
303,248,1
303,389,2
303,1049,2
305,199,3
306,615,2
306,871,2
307,84,2
307,101,1
307,305,1
307,517,1
307,876,1
309,186,3
309,620,4
309,664,1
309,694,3
310,94,1
313,121,2
322,323,4
322,863,1
323,322,4
323,863,2
324,162,1
324,229,3
327,1,1
327,77,3
327,84,3
327,216,3
327,236,1
327,266,3
327,283,2
327,389,3
327,618,1
327,860,3
329,834,1
334,115,4
343,94,2
343,179,2
343,451,2
347,234,2
347,931,1
364,198,1
366,129,4
366,367,2
375,283,2
375,618,2
376,66,3
376,187,1
376,248,3
376,498,2
376,1069,1
384,385,2
384,408,2
385,384,2
385,408,1
388,53,2
388,306,2
389,73,2
389,493,1
389,618,2
389,771,3
389,851,2
395,84,3
395,791,2
408,148,2
408,1170,3
411,25,1
411,40,1
435,221,1
435,896,2
435,1000,2
436,251,2
440,30,3
440,367,2
440,1135,2
441,552,4
450,94,2
450,343,2
450,464,2
451,343,1
454,455,4
455,454,3
456,457,3
457,389,1
457,456,2
457,493,1
457,851,1
461,481,4
463,469,1
464,450,2
465,133,3
467,186,3
467,1229,3
468,620,1
468,694,1
476,13,3
477,58,2
477,236,2
477,283,1
478,1229,1
480,486,3
481,461,3
486,480,4
488,482,2
488,489,4
488,976,2
489,225,1
489,488,3
491,205,3
491,898,2
492,494,4
493,1,1
493,53,1
493,199,3
493,202,1
493,266,2
493,388,2
493,389,2
493,618,2
494,94,1
494,343,2
494,492,3
495,142,2
495,230,3
495,266,2
495,389,1
495,721,3
495,992,3
496,702,3
496,742,1
498,1069,2
499,2,3
500,139,2
502,800,2
503,505,2
503,644,1
503,896,2
503,1000,2
504,121,3
504,644,1
505,435,1
505,640,1
505,644,1
505,1049,1
506,42,2
506,505,1
506,599,2
506,694,1
507,508,2
507,540,2
508,507,1
509,797,1
509,1191,4
511,40,1
511,94,1
511,226,1
511,283,1
511,955,1
512,283,2
512,389,2
512,541,2
512,618,3
512,938,2
513,290,3
513,607,1
513,871,1
517,764,2
525,530,3
525,803,1
531,532,4
532,531,3
534,725,2
536,16,1
536,152,1
536,846,3
536,966,1
540,507,3
540,1237,3
542,375,2
542,766,3
548,123,2
551,920,1
552,94,1
552,343,1
552,441,3
552,744,1
554,182,2
554,313,2
554,840,2
554,949,3
564,3513,4
570,876,2
588,94,1
595,53,2
598,599,2
599,192,3
605,863,2
607,871,1
615,225,2
615,306,2
620,42,4
620,309,4
620,313,1
620,694,3
620,2851,3
624,824,1
624,1035,1
636,835,1
636,836,1
637,250,4
638,41,2
640,121,2
640,366,1
640,367,1
640,782,1
640,1049,2
641,176,2
641,739,2
642,937,3
663,840,3
663,949,1
664,186,3
664,644,1
666,85,4
666,313,1
666,664,3
666,938,4
666,949,2
669,657,1
669,796,1
672,1035,2
690,155,2
690,156,2
690,283,1
690,618,1
692,800,1
699,797,1
702,496,4
704,24,2
704,294,1
710,577,1
710,779,3
711,766,1
717,21,1
717,53,2
717,170,1
717,266,2
717,283,1
717,305,2
717,595,2
717,618,1
717,851,2
717,993,1
721,230,2
721,283,3
721,495,2
721,618,2
721,851,3
721,993,2
722,139,2
722,283,2
722,389,2
722,517,2
722,710,4
725,534,3
731,140,3
731,343,2
738,226,2
738,808,2
739,176,1
742,496,2
742,702,2
744,25,1
754,109,3
754,222,3
754,343,3
754,1172,3
758,491,1
758,510,1
764,143,2
771,77,2
771,170,2
771,225,2
771,236,2
771,388,2
771,389,3
771,618,2
771,950,2
772,94,1
772,343,1
773,811,1
773,870,1
779,710,4
782,25,1
782,94,1
785,226,3
787,699,2
787,797,4
796,1020,4
797,509,3
797,787,4
808,577,2
811,773,1
811,870,1
812,843,4
819,776,1
820,243,1
831,832,3
832,831,3
832,1202,2
834,16,2
834,56,2
834,202,1
834,618,1
834,851,2
835,836,4
836,636,1
836,835,4
840,182,2
840,949,2
843,26,1
843,266,1
843,283,1
843,812,3
846,70,2
846,152,1
846,266,2
846,536,4
846,834,3
851,73,2
851,170,2
851,283,2
851,305,2
851,389,2
851,618,2
851,950,2
860,77,1
860,389,1
860,618,1
863,322,1
863,323,1
863,605,3
864,891,4
870,534,1
870,677,1
871,306,2
871,607,1
871,909,2
876,570,2
878,14,2
884,1142,1
889,890,4
890,889,4
891,864,4
896,221,2
909,871,2
909,2293,1
913,149,2
920,551,1
936,109,3
937,642,2
938,85,3
938,313,2
938,666,2
938,694,2
938,936,2
938,1172,2
940,16,2
940,719,1
949,313,1
950,40,1
950,77,1
950,150,1
950,170,2
950,202,1
950,226,1
950,266,1
950,388,1
950,389,2
950,493,1
950,618,3
950,690,1
950,771,3
950,808,1
956,960,1
966,152,3
973,152,1
973,170,1
982,343,3
982,902,4
982,960,1
992,142,2
992,230,1
992,388,1
992,495,3
992,721,1
993,266,3
993,283,3
993,305,3
1020,187,1
1020,694,2
1049,640,2
1069,187,2
1085,241,3
1085,498,3
1142,195,1
1170,86,2
1191,80,2
1191,390,2
1191,509,3
1191,699,2
1191,4284,2
1202,832,1
1237,507,2
1237,540,3
2200,187,1
2200,1069,2
2200,4283,3
2851,620,2
3513,564,4
4227,4233,1
4227,4238,3
4233,162,1
4238,4227,3
4238,4233,1
4239,644,2
4244,343,2
4244,4245,4
4244,4298,2
4245,4244,4
4247,142,2
4264,753,2
4274,4264,2
4283,187,2
4283,1069,1
4283,2200,4
4284,509,2
4284,1191,2
4287,4288,1
4288,4287,1
4288,4299,1
4299,237,2
4299,4287,1
4299,4288,2
4300,496,2
4300,702,2
4300,4264,2
10003,24,1
100000,100001,1
100000,200005,3
100000,200011,2
100000,200112,2
100000,200998,3
100000,201036,3
100000,201256,4
100000,201470,3
100000,201477,3
100000,202034,1
100000,202036,3
100001,200038,1
100001,200924,6
100003,200007,1
100003,200038,1
100003,200042,2
100005,100006,6
100005,200046,3
100005,200072,3
100005,200073,3
100005,200081,11
100005,200102,3
100005,200103,4
100005,200251,3
100006,100005,2
100006,200081,2
100006,200090,2
100006,200092,2
100006,200095,2
100006,200096,2
100006,200102,6
100006,200103,11
100006,200251,3
100006,200889,2
100006,200896,2
100008,200007,2
100008,200011,2
100008,200208,2
100011,200270,5
100011,200271,4
100011,200272,4
100011,200273,3
100011,200274,9
100011,200275,4
100011,200276,4
100011,200277,11
100011,200279,5
100011,200283,2
100011,200323,3
100011,200460,7
100011,200462,3
100011,200792,2
100011,201305,4
100011,201611,4
100011,201617,3
100011,201928,2
100011,201953,2
100012,100011,6
100012,200283,3
100015,200276,3
100015,200438,5
100015,200439,3
100015,200440,3
100015,200441,5
100015,200460,1
100015,200461,1
100027,200692,4
100029,200868,3
100029,200870,3
100029,200996,3
100029,200997,4
100029,200998,1
100029,201000,2
100029,201001,1
100029,201002,2
100030,200041,1
100030,200046,1
100030,200112,2
100030,200964,2
100030,200969,2
100048,201273,3
200005,100000,4
200005,200007,3
200005,200010,3
200005,200011,2
200005,200038,3
200005,200112,2
200007,200013,2
200010,200005,2
200010,200007,2
200010,200011,3
200010,200025,2
200011,100008,2
200011,200005,2
200011,200007,4
200011,200010,2
200011,200038,2
200035,100000,2
200035,100001,4
200035,200007,2
200035,200010,2
200035,200011,2
200035,200038,2
200035,200046,2
200038,100000,2
200038,100030,3
200038,200005,3
200038,200007,3
200038,200011,3
200038,200035,2
200038,200041,2
200038,200042,3
200039,200035,2
200041,200007,3
200041,200038,2
200042,100000,2
200042,100008,1
200042,200007,4
200042,200038,2
200046,100001,2
200046,200005,2
200046,200010,2
200046,200112,4
200072,200092,2
200072,200102,2
200081,100005,4
200081,200251,4
200081,200896,6
200081,201664,2
200090,200095,4
200090,200096,4
200090,200102,2
200090,200103,3
200090,200896,1
200092,200072,2
200092,200251,2
200095,200096,6
200096,200095,7
200096,200103,3
200096,200129,2
200102,100006,1
200102,200081,4
200102,200251,3
200102,200952,3
200103,100006,6
200103,100007,3
200103,200092,1
200103,200102,3
200103,200117,3
200103,200118,2
200103,200120,2
200103,200121,2
200103,200125,3
200103,200129,7
200103,200251,1
200103,200889,6
200103,200896,2
200103,200900,2
200112,200007,2
200112,200010,2
200112,200046,5
200117,200103,1
200121,100006,2
200121,200103,4
200125,200103,2
200129,200039,2
200129,200103,3
200129,200117,2
200129,200118,3
200208,200007,2
200208,200042,2
200251,100005,5
200251,200081,6
200251,200102,3
200271,100011,2
200271,200275,2
200271,200283,4
200271,200288,8
200272,200304,8
200272,200362,3
200272,200363,3
200273,200574,3
200275,200277,8
200275,200283,2
200275,200323,6
200275,200362,3
200275,200363,6
200276,100011,4
200276,200323,3
200276,200499,2
200277,100011,2
200277,200271,2
200277,200275,8
200277,200323,5
200283,200323,2
200283,200363,1
200283,201042,1
200288,200271,5
200288,200323,1
200288,200363,2
200288,200490,5
200288,200691,3
200304,100011,3
200304,200272,3
200304,200363,2
200304,200391,2
200323,200275,5
200323,200277,4
200323,200283,5
200323,200358,4
200323,200360,3
200323,200361,7
200323,200362,6
200323,200363,5
200323,201305,2
200323,201306,2
200323,201307,2
200323,201928,1
200354,200279,3
200354,200474,8
200354,200476,4
200358,200277,3
200358,200323,3
200360,100011,1
200360,200283,2
200360,200323,1
200361,200323,9
200362,200272,5
200362,200275,3
200362,200283,3
200362,200304,1
200362,200323,5
200362,200360,3
200362,200363,7
200362,200380,1
200363,200275,10
200363,200283,3
200363,200323,6
200363,200362,6
200380,200403,3
200380,200441,3
200391,200272,3
200391,200304,3
200439,200323,2
200439,200620,3
200439,200621,3
200440,200490,3
200440,200499,3
200440,200620,2
200441,200438,1
200460,200462,9
200460,200463,3
200460,200465,2
200461,100015,3
200461,200438,2
200461,200462,11
200462,100011,2
200462,200460,3
200462,200463,3
200462,200465,11
200462,200490,7
200463,100015,2
200463,200460,3
200463,200461,3
200463,200462,4
200463,200490,2
200463,200494,2
200465,200460,4
200465,200462,12
200465,200490,4
200465,200573,2
200465,200574,3
200474,200354,3
200476,200354,4
200490,200462,3
200490,200465,2
200494,200440,1
200494,200463,2
200494,200490,3
200494,200499,1
200494,200500,1
200494,200501,2
200494,200502,2
200500,200440,6
200500,200499,2
200501,200461,1
200501,200463,4
200501,200494,3
200502,200463,4
200502,200499,3
200574,100012,3
200574,200785,2
200574,200786,3
200574,200787,2
200574,200788,2
200574,200789,2
200574,200790,2
200574,200791,2
200574,200792,3
200574,200793,2
200574,201664,1
200620,200440,3
200620,200621,2
200620,200674,3
200620,200691,2
200620,200692,2
200621,200439,3
200621,200674,3
200667,200621,2
200667,200691,4
200667,200738,2
200667,201305,2
200668,200275,1
200669,200674,3
200669,200691,3
200674,200620,2
200674,200667,2
200674,200691,2
200674,200692,2
200691,200620,3
200691,200621,3
200691,200692,8
200691,200735,3
200691,200738,6
200692,200691,4
200738,200620,3
200738,200667,5
200738,200674,3
200738,200691,6
200738,200692,3
200738,200735,6
200786,200574,2
200787,200786,3
200788,200574,1
200788,200793,1
200789,200574,3
200789,200790,3
200789,200792,3
200790,200786,3
200790,200789,3
200790,200793,3
200791,200786,2
200791,200787,2
200792,100011,2
200792,200790,1
200792,200818,4
200792,200819,6
200792,200821,1
200792,201447,1
200793,200785,3
200793,200788,3
200793,200791,3
200818,200792,9
200818,200819,6
200818,200821,1
200818,201446,6
200818,201447,3
200818,201448,3
200819,200792,6
200819,200818,6
200819,200821,3
200821,200818,3
200821,200819,2
200868,100029,2
200868,200876,2
200868,200879,2
200870,100029,1
200876,100029,2
200876,200880,5
200876,200881,4
200876,200882,2
200876,200884,3
200876,201777,3
200876,201780,2
200876,201781,4
200876,201782,3
200879,201121,2
200879,201122,2
200880,200876,3
200881,201049,3
200884,201049,6
200884,201063,9
200889,100005,2
200889,100006,7
200889,200081,3
200889,200092,2
200889,200102,3
200889,200103,3
200889,200896,3
200896,100005,7
200896,200081,3
200896,200092,3
200896,200102,4
200896,200251,2
200900,200103,3
200924,100001,5
200924,200038,1
200924,201368,1
200952,200081,1
200952,200092,1
200952,200102,1
200952,200251,4
200964,100008,5
200964,100030,8
200964,200038,2
200964,200046,2
200964,200112,2
200969,100000,1
200969,100030,2
200969,200005,3
200969,200011,3
200969,200046,2
200996,100029,2
200996,200868,4
200996,201036,1
200998,100029,3
200998,201031,3
201002,201021,2
201021,200884,3
201021,201063,2
201021,201126,2
201021,201131,3
201021,201132,3
201021,201133,2
201021,201134,2
201031,200998,2
201031,201000,2
201031,201041,2
201031,201042,1
201031,201043,3
201036,200881,3
201036,201477,7
201036,202034,1
201041,200998,2
201041,201031,1
201042,201043,2
201042,201079,3
201049,201470,4
201063,201099,5
201063,201273,4
201079,201107,3
201099,200691,2
201099,200879,2
201099,201063,2
201099,201119,5
201099,201121,1
201099,201122,2
201099,201123,2
201099,201124,2
201099,201125,2
201099,201126,4
201099,201128,7
201099,201129,2
201099,201960,2
201107,201079,4
201107,201243,1
201119,201099,5
201121,201099,2
201122,201123,4
201123,201122,8
201125,201099,2
201129,201099,3
201131,201134,4
201133,201021,3
201243,201254,2
201243,201255,2
201243,201256,2
201243,201257,2
201254,201243,2
201256,201243,3
201256,201255,2
201257,201243,3
201257,201256,4
201273,100029,3
201273,100048,3
201273,201036,2
201273,201470,2
201273,201484,3
201273,202034,2
201305,100011,5
201305,200275,3
201305,200304,1
201305,200323,5
201306,200323,2
201307,200323,3
201446,200818,4
201448,200818,6
201448,201446,6
201448,201447,7
201470,100048,2
201470,201036,2
201470,201049,2
201470,201273,2
201470,201477,4
201470,202033,2
201470,202034,3
201470,202036,3
201477,201049,6
201477,201470,2
201477,202033,3
201484,201557,1
201484,201558,1
201484,201560,2
201484,201561,1
201484,201563,2
201484,201564,2
201484,201565,2
201558,201557,3
201560,201484,4
201564,201591,3
201611,100011,2
201613,100011,3
201618,100011,2
201664,100011,1
201664,200621,2
201706,100030,2
201747,100006,3
201747,200072,2
201747,200092,4
201747,200103,4
201747,200251,3
201747,200896,4
201748,100006,2
201748,200103,2
201748,201749,2
201749,200103,1
201777,200876,4
201777,200880,1
201777,201780,3
201780,201781,3
201781,201780,1
201782,200876,4
201782,201781,2
201804,201031,4
201812,100029,2
201928,200323,5
201928,200361,8
201928,201305,3
202033,200881,3
202033,201036,3
202033,201477,4
202033,202034,3
202033,202036,4
202034,201470,7
202034,202033,3
202034,202036,1
202036,201036,1
202036,201470,1
202036,201477,1
202045,201470,3
202045,201477,2
202045,202033,2
202045,202036,2
202092,200271,3
202092,200792,3
202092,200818,3
202228,100001,2
202228,200038,2
202228,201368,2
202275,100029,4
202275,200998,4
202275,202279,3
202276,100029,3
202276,201273,2
202278,100029,2
202278,201273,2
202279,100029,3
202279,201273,1
202279,202275,3
202453,200005,3
202845,200005,1
300001,300005,4
300001,300013,2
300001,300042,1
300001,300118,1
300003,300024,2
300004,300001,1
300004,300005,1
300004,300030,1
300005,300001,5
300005,300011,3
300005,300013,4
300005,300015,3
300005,300016,2
300005,300017,2
300005,300018,8
300005,300019,2
300005,300020,2
300005,300022,6
300005,300025,8
300005,300026,2
300005,300028,2
300005,300051,8
300005,300074,3
300005,300105,4
300005,300232,2
300009,300018,2
300009,300047,3
300009,300048,3
300011,300005,2
300011,300014,2
300011,300021,2
300011,300040,3
300011,300051,2
300011,300104,2
300013,300005,6
300013,300011,2
300013,300014,2
300013,300018,1
300013,300022,3
300013,300025,4
300013,300028,4
300013,300030,1
300013,300038,1
300013,300040,2
300013,300074,2
300013,300104,2
300014,300005,2
300014,300011,3
300014,300022,2
300014,300023,2
300014,300043,2
300014,300056,2
300014,300062,2
300014,300104,2
300014,300121,2
300015,300016,8
300015,300018,2
300015,300021,2
300015,300027,3
300015,300055,2
300015,300056,6
300015,300104,2
300016,300011,2
300016,300015,8
300016,300018,4
300016,300020,2
300016,300021,2
300016,300026,2
300016,300027,3
300016,300030,2
300016,300051,2
300016,300052,2
300016,300056,3
300016,300062,4
300016,300064,2
300016,300070,2
300016,300104,3
300016,300121,2
300017,300005,4
300017,300016,3
300017,300018,2
300017,300020,2
300017,300024,1
300017,300026,2
300017,300029,2
300017,300104,2
300018,300005,3
300018,300009,1
300018,300015,2
300018,300016,2
300018,300020,2
300018,300062,4
300019,300005,2
300019,300013,2
300019,300053,2
300020,300005,2
300020,300013,2
300021,300026,2
300021,300064,3
300021,300068,3
300021,300105,7
300021,300227,2
300021,300230,6
300021,300235,1
300022,300005,6
300022,300013,4
300022,300023,2
300022,300051,2
300022,300064,2
300023,300005,5
300023,300011,2
300023,300013,2
300023,300014,2
300023,300016,4
300023,300020,2
300023,300022,6
300023,300026,2
300023,300062,5
300023,300076,2
300023,300104,2
300024,300003,4
300024,300004,2
300024,300016,2
300024,300020,3
300024,300026,3
300024,300027,1
300024,300029,2
300024,300030,3
300024,300031,2
300024,300032,2
300024,300033,1
300024,300035,2
300024,300036,1
300024,300076,2
300024,300104,3
300025,300005,3
300025,300013,1
300026,300016,2
300026,300021,3
300026,300030,2
300026,300038,2
300027,300015,3
300027,300016,3
300028,300046,1
300029,300030,2
300029,300076,8
300030,300024,1
300030,300038,2
300031,300020,2
300031,300026,1
300031,300028,2
300031,300030,2
300031,300038,2
300031,300206,2
300032,300024,1
300032,300121,1
300033,300024,1
300033,300026,2
300033,300036,2
300036,300024,1
300036,300026,1
300036,300033,2
300037,300015,2
300037,300017,3
300037,300018,2
300037,300020,3
300037,300030,2
300037,300062,3
300037,300069,2
300037,300072,3
300038,300014,1
